0,Oldest to newest,Oldest,Newest
1,Lightest to heaviest,Lightest,Heaviest
2,Alphabetically,A,Z
3,Shortest to tallest,Shortest,Tallest
4,Oldest to newest,Oldest,Newest
5,Oldest to newest,Oldest,Newest
6,From least populous to most,Least populous,Most populous
7,Olympic hosts earliest to latest,Earliest,Latest
8,Countries by area smallest to largest,Smallest,Largest
9,From smallest to largest,Smallest,Largest
10,From left to right,Left,Right
11,Alphabetically,A,Z
12,Inventions oldest to newest,Oldest,Newest
13,NZ cities south to north,Southmost,Northmost
14,Programming languages low to high level,Low level,High level
15,From left to right,Left,Right
16,Colours darkest to lightest,Darkest,Lightest
17,Darkest to lightest,Darkest,Lightest
18,Darkest to lightest,Darkest,Lightest
19,Darkest to lightest,Darkest,Lightest
20,Darkest to lightest,Darkest,Lightest
21,Least to most,Least,Most
22,Lowest to highest,Lowest,Highest
23,Alphabetically,A,Z
24,Lowest to highest,Lowest,Highest
25,Atomic number lowest to highest,Lowest,Highest
26,Fewest sides to most,Fewest sides,Most sides
27,Shortest to tallest,Shortest,Tallest
28,Lightest to heaviest,Lightest,Heaviest
29,Oldest to newest,Oldest,Newest
30,Oldest to newest,Oldest,Newest
31,Coldest to hottest,Coldest,Hottest
32,Least to most valuable,Least valuable,Most valuable
33,Simplest to most complicated,Simplest,Most complicated
34,Oldest to newest,Oldest,Newest
35,Closest to furthest from the Sun,Closest,Furthest
36,Earliest to latest,Monday,Sunday
37,Longest to shortest wavelength,Longest wavelength,Shortest wavelength
38,Smallest to largest,Smallest,Largest
39,Smallest to largest,Smallest,Largest
40,Fewest faces to most,Fewest faces,Most faces
41,Unhealthy to healthy,Inedible,Healthy
42,Lowest to highest GDP,Lowest GDP,Highest GDP
43,Slowest to fastest,Slowest,Fastest
44,Fewest legs to most legs,Few legs,Many legs
45,Oldest to newest,Oldest,Newest
46,South to north,Southmost,Northmost
47,Fashion choices oldest to newest,Oldest,Newest
48,Yearly kill count from least to most,Least,Most
49,Freedom index from least free to most,Least free,Most free
50,World champions from earliest to most recent,Earliest,Most recent
51,All Blacks coaches from earliest to most recent,Earliest,Most recent
52,Maximum speed slowest to fastest,Slowest,Fastest
53,Alphabetically by surname,A,Z
54,Order mentioned in the Major-General's song,First,Last
55,James Bond earliest to latest,Earliest,Latest
56,Doctor Who earliest to latest,Earliest,Latest
57,Batmen earliest to latest,Earliest,Latest